Query,Time,Value,Unit
"name=""joe biden"" AND channel=""CNN""",2010-04-23,39.015,seconds
"name=""joe biden"" AND channel=""CNN""",2010-04-24,3,seconds
"name=""joe biden"" AND channel=""CNN""",2010-04-25,357.295,seconds
"name=""joe biden"" AND channel=""CNN""",2010-04-28,3,seconds
"name=""joe biden"" AND channel=""CNN""",2010-04-29,18.003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-05-01,24.015,seconds
"name=""joe biden"" AND channel=""CNN""",2010-05-07,3,seconds
"name=""joe biden"" AND channel=""CNN""",2010-05-10,96.045,seconds
"name=""joe biden"" AND channel=""CNN""",2010-05-11,107.038,seconds
"name=""joe biden"" AND channel=""CNN""",2010-05-12,36.009,seconds
"name=""joe biden"" AND channel=""CNN""",2010-05-13,6,seconds
"name=""joe biden"" AND channel=""CNN""",2010-05-14,12.009,seconds
"name=""joe biden"" AND channel=""CNN""",2010-05-16,3,seconds
"name=""joe biden"" AND channel=""CNN""",2010-06-17,78.057,seconds
"name=""joe biden"" AND channel=""CNN""",2010-06-18,21.012,seconds
"name=""joe biden"" AND channel=""CNN""",2010-06-19,6.003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-06-20,9.003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-06-23,798.684,seconds
"name=""joe biden"" AND channel=""CNN""",2010-06-24,288.213,seconds
"name=""joe biden"" AND channel=""CNN""",2010-06-26,36.027,seconds
"name=""joe biden"" AND channel=""CNN""",2010-06-27,30.024,seconds
"name=""joe biden"" AND channel=""CNN""",2010-06-28,33.006,seconds
"name=""joe biden"" AND channel=""CNN""",2010-06-29,60.021,seconds
"name=""joe biden"" AND channel=""CNN""",2010-06-30,45.009,seconds
"name=""joe biden"" AND channel=""CNN""",2010-07-03,18.003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-07-04,15,seconds
"name=""joe biden"" AND channel=""CNN""",2010-07-05,54.021,seconds
"name=""joe biden"" AND channel=""CNN""",2010-07-06,45.039,seconds
"name=""joe biden"" AND channel=""CNN""",2010-07-07,9.006,seconds
"name=""joe biden"" AND channel=""CNN""",2010-07-08,21.018,seconds
"name=""joe biden"" AND channel=""CNN""",2010-07-10,9.003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-07-11,51.036,seconds
"name=""joe biden"" AND channel=""CNN""",2010-07-12,15.009,seconds
"name=""joe biden"" AND channel=""CNN""",2010-07-14,24.015,seconds
